IDNUM;OTEXE;NREG;ZENVI;SUTOT;CHAFF;PRODV;PRODH;PRODT;PRODA;RESEX;CHRAM;CHRSE;CHRPH;CHRAC;CHRAG;CHRPV;CHRCA;ELECTQUA;ENTBT;ENTMT;LFERM;LMATE;ASSRE;ASSAU;TVANR;TXPRO;TAXES;AIMTX;FPERS;CHSOC;CFINL;CAGR4
8820;46;76;0;9;144373;134183;0;0;0;17958;0;16211;16828;0;0;0;8592;1700;0;10038;2282;723;0;4419;0;0;3784;1067;0;0;1781;6
8823;83;76;0;8;263322;0;0;249760;0;51019;0;0;4661;0;0;0;1918;18271;3122;10061;17090;180;0;5361;0;7138;1373;1072;29774;3789;3453;92
8830;50;76;0;2;243369;32560;0;760;26088;38775;0;13185;5349;36290;7395;5013;8338;16075;0;7087;7869;26588;1616;6146;0;982;320;799;11066;6893;3283;992
8832;46;76;1;20;500124;224859;102292;23526;28794;34801;0;42035;36235;11826;0;468;31865;9000;5929;32272;31889;0;7629;12961;0;4677;0;892;4709;170;4773;2183
8902;15;76;0;17;389095.98;150467.85;0;4668.2;39723.94;101075.61;0;13967.76;21681.91;40679.21;0;12375.31;23307.51;55500;1136.83;7187.19;14869.02;2362.75;0;9124.98;0;207.76;14;2478.27;7345.54;232.81;2845.52;0
8906;83;76;0;16;223727;0;0;227780;0;20168;0;0;6381;0;0;0;1801;11807;1649;6463;11340;648;8466;5087;0;0;0;330;59093;6902;1810;610
8937;39;76;0;13;713872.91;70634.33;0;806043.86;0;381335.5;0;10778.9;8466.43;0;0;0;2431.06;4900;759.78;11878.93;56587.04;14398.8;12321.61;6642.45;0;1114;835.34;905;117722.28;44804.72;954.01;7967.55
8941;39;76;0;18;297519;0;0;326436;0;135376;0;0;3833;0;0;0;1945;32100;7589;7061;34756;853;207;6001;0;2636;414;580;27278;8788;2512;1138
8955;39;76;0;7;480822;0;0;505186;0;41277;0;1924;5981;0;0;0;798;13000;0;12838;70957;1690;19134;7296;0;15;0;1178;90502;29696;6493;502
8964;15;76;0;26;313315;230760;0;500;67485;76566;0;28045;21189;27897;0;998;15481;153103;670;8965;34318;23291;12285;9008;0;1404;0;889;400;0;12007;15973
8967;84;76;0;13;852878.32;0;0;883225.67;0;266099.44;0;3510.5;17111.17;0;0;0;2496.64;31256;357.5;13352.62;127017.25;4192;13057.79;18888.15;0;7332.9;0;2739.28;136059.9;34549.74;13088.34;8354.29
8973;45;76;0;22;229824;107090;44080;0;67303;49277.86;0;16391;35024;7143;0;768;28077;2958;0;14978;12393;0;15114;10252;0;2125;0;845;0;0;4929;1409
8975;28;76;0;1;75497;600;0;0;64227;29625;0;264;0;5426;1604;2936;2131;3145;1255;2829;17429;0;0;4062;0;205;1162;367;0;0;330;0
9191;37;76;0;5;646096.29;24571.6;0;11940;242020.1;186407.34;4067.84;13596.88;10135.52;128366.36;0;22922.86;26384.77;95401;1214.22;27605.17;22032.81;3215.66;493.29;16776.1;0;1352.81;554;1710;0;0;24139.08;313.61
9199;84;76;0;26;261462.44;64244.14;0;880;162519.35;41792.99;0;13528.02;11486.49;60587.05;0;12138.05;12228.43;27979;203.69;6845.15;21514.27;0;2950.28;10506.4;0;2369.07;0;2096.7;1170;0;1521.72;1.84
9203;84;76;0;11;503575.48;144551.15;0;1600;68575.42;1319.26;1649.25;26147.37;22167.13;86907.16;650;9468.81;15817.04;75080;84;24200.13;34300.72;2091.49;1358.5;11827.18;0;4869.97;32;0;24103.61;1752.54;19705.05;12284.34
9220;37;76;0;18;238836.89;134923.91;0;0;27216.32;40475.23;0;12080.2;0;53.36;0;1097.86;21686.56;7200;1365.22;12832.65;12118.38;0;0;6255.93;0;196.93;2985.7;791;29886.38;2970.02;2997.29;0
9223;37;76;0;23;259817.27;0;268968.27;0;0;44995.35;0;27684.45;2774.95;0;0;0;10946.43;90301;6387.1;7159.31;2321.91;1128.23;0;5198.31;0;609;0;424.76;55614.5;2840.06;1790.92;215.28
9229;15;76;0;16;483508;0;0;479357;0;63104.28;0;0;12292;0;0;0;2715;9053;0;12926;21524;12916;15863;6859;0;0;0;5160;128287;20203;2343;0
9233;15;76;0;27;787391;75366;105787;6229;345973;167600.05;2397;30414;39567;234909;600;16508;8231;75117;4439;14305;20943;1434;0;8543;0;1504;0;4757;16230;1269;6489;7234
9237;48;76;0;11;91867;-702;0;0;73767;16635;0;0;110;25889;0;8067;2892;1180;1328;2545;5929;0;0;3988;0;762;820;6;0;0;405;0
9241;15;76;0;10;163701;473;0;0;144836;5264.49;1515;5589;1444;27740;0;5159;11831;6805;4217;19438;6891;980;3191;11093;0;943;526;0;861;0;832;92
